"",""
"Action","Action"
"Add KPI Report","Add KPI Report"
"An error occurred while updating the kpi reports.","An error occurred while updating the kpi reports."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Continuous Improvement Rate","Continuous Improvement Rate"
"Corrective Action Mean Time","Corrective Action Mean Time"
"Could not find kpi report to delete.","Could not find kpi report to delete."
"Created at","Created at"
"Customer Satisfaction Rate","Customer Satisfaction Rate"
"Delete KPI Report","Delete KPI Report"
"Delete","Delete"
"Department","Department"
"Disabled","Disabled"
"Edit KPI Report '%s'","Edit KPI Report '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving kpi report","Error saving kpi report"
"Excel","Excel"
"Home","Home"
"Id","Id"
"KPI Report was saved","KPI Report was saved"
"KPI Report was successfully deleted.","KPI Report was successfully deleted."
"KPI Report was successfully saved","KPI Report was successfully saved"
"KPI Report","KPI Report"
"KPI Reports","KPI Reports"
"Maintenance Error Rate","Maintenance Error Rate"
"Man-power Improvement Rate","Man-power Improvement Rate"
"Mass Non-Comformity Rate","Mass Non-Comformity Rate"
"Month","Month"
"No","No"
"Non-Comformity Rate","Non-Comformity Rate"
"None","None"
"Note","Note"
"Please select kpi reports to delete.","Please select kpi reports to delete."
"Please select kpi reports.","Please select kpi reports."
"Production Planning Efficiency","Production Planning Efficiency"
"Quality Surveillance Rate","Quality Surveillance Rate"
"Repetitive Error Rate","Repetitive Error Rate"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save KPI Report","Save KPI Report"
"Self-Detected Rate","Self-Detected Rate"
"Status","Status"
"Store views","Store views"
"System Error Rate","System Error Rate"
"The kpi reports has been deleted.","The kpi reports has been deleted."
"There was a problem saving the kpi report.","There was a problem saving the kpi report."
"There was an error deleting kpi report.","There was an error deleting kpi report."
"There was an error deleting kpi reports.","There was an error deleting kpi reports."
"There was an error updating kpi reports.","There was an error updating kpi reports."
"This kpi report no longer exists.","This kpi report no longer exists."
"Total of %d kpi reports were successfully deleted.","Total of %d kpi reports were successfully deleted."
"Total of %d kpi reports were successfully updated.","Total of %d kpi reports were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find kpi report to save.","Unable to find kpi report to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Year","Year"
"Yes","Yes"